pygame 2.0.1 (SDL 2.0.9, Python 3.7.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
         67296374 function calls (67291979 primitive calls) in 27.451 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       55    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       48    0.000    0.000    0.001    0.000 typing.py:600(__init__)
        9    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
      178    0.000    0.000    0.002    0.000 enum.py:284(__call__)
       42    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       77    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
  177/142    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
   131/65    0.000    0.000    0.003    0.000 pyparsing.py:3363(copy)
        1    0.000    0.000    0.002    0.002 subprocess.py:1383(_execute_child)
      158    0.000    0.000    0.000    0.000 warnings.py:493(__exit__)
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
      218    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
       72    0.000    0.000    0.001    0.000 dsp.py:2438(project_circle)
       72    0.000    0.000    0.001    0.000 r.py:420(_get_circle_sprite)
     1059    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.145    0.145 __init__.py:16(<module>)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1250(setParseAction)
   131/65    0.000    0.000    0.002    0.000 pyparsing.py:3365(<listcomp>)
      161    0.000    0.000    0.005    0.000 __init__.py:1415(get_metadata_lines)
       72    0.000    0.000    0.000    0.000 dsp.py:4410(project_cursor)
        1    0.000    0.000    0.002    0.002 inspect.py:27(<module>)
      454    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      264    0.000    0.000    0.001    0.000 __init__.py:1574(_has)
       50    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
      426    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
      144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 sysfont.py:321(font_constructor)
        5    0.000    0.000    0.000    0.000 dsp.py:3799(__init__)
      130    0.000    0.000    0.001    0.000 genericpath.py:27(isfile)
       42    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
      127    0.000    0.000    0.001    0.000 __init__.py:1858(has_metadata)
      158    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1339(find_loader)
      302    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      137    0.000    0.000    0.011    0.000 __init__.py:3218(<genexpr>)
      216    0.000    0.000    0.000    0.000 gfx.py:2945(bold)
       77    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      141    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
     1194    0.000    0.000    0.000    0.000 dsp.py:3466(bbox_height)
        1    0.000    0.000    0.003    0.003 random.py:38(<module>)
      158    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:421(_find_module_shim)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       55    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
    42/25    0.000    0.000    0.054    0.002 {built-in method builtins.__import__}
     1531    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       26    0.000    0.000    0.012    0.000 pyparsing.py:2779(__init__)
      448    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
      321    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
     1136    0.000    0.000    0.000    0.000 dsp.py:4052(event_animation_end)
    218/3    0.000    0.000    0.183    0.061 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        4    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000   27.414   27.414 circle_popper.py:193(main)
        8    0.000    0.000    0.002    0.000 enum.py:389(_create_)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      364    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       72    0.000    0.000    0.000    0.000 dsp.py:1624(project_shader)
      360    0.000    0.000    0.000    0.000 dsp.py:3612(image_fps)
       44    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       27    0.000    0.000    0.002    0.000 pyparsing.py:1039(_trim_arity)
      210    0.000    0.000    0.000    0.000 __init__.py:1902(__init__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f10cd0e4d08}
       26    0.000    0.000    0.002    0.000 traceback.py:200(extract_stack)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      194    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.007    0.007 pyparsing.py:5399(pyparsing_common)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       73    0.000    0.000    0.000    0.000 {method 'lock' of 'pygame.Surface' objects}
      732    0.000    0.000    0.000    0.000 {method 'get_height' of 'pygame.Surface' objects}
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      611    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      558    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.000    0.000 {built-in method pygame.draw.polygon}
       58    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.027    0.027 requirements.py:4(<module>)
        1    0.000    0.000    0.002    0.002 socket.py:47(<module>)
      296    0.000    0.000    0.000    0.000 dsp.py:260(width)
      216    0.000    0.000    0.000    0.000 {method 'get_underline' of 'pygame.font.Font' objects}
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      137    0.000    0.000    0.000    0.000 __init__.py:668(__iter__)
       72    0.000    0.000    0.004    0.000 dsp.py:4396(event_step)
      104    0.000    0.000    0.001    0.000 traceback.py:282(line)
       27    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       16    0.000    0.000    0.000    0.000 r.py:1095(s_set_size)
      578    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      365    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      568    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      284    0.000    0.000    0.000    0.000 dsp.py:3357(x)
      284    0.000    0.000    0.000    0.000 dsp.py:3518(xvelocity)
      192    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
    32/30    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
       70    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.001    0.001 typing.py:19(<module>)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2368(__init__)
    13/12    0.000    0.000    0.000    0.000 posixpath.py:400(_joinrealpath)
        1    0.000    0.000    0.001    0.001 markers.py:4(<module>)
      158    0.000    0.000    0.000    0.000 warnings.py:453(__init__)
      346    0.000    0.000    0.000    0.000 typing.py:587(_is_dunder)
      178    0.000    0.000    0.000    0.000 pkgutil.py:405(get_importer)
     19/4    0.000    0.000    0.000    0.000 pyparsing.py:3319(streamline)
      278    0.000    0.000    0.000    0.000 input.py:87(__init__)
      279    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      128    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      216    0.000    0.000    0.000    0.000 gfx.py:2887(size)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      218    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       26    0.000    0.000    0.002    0.000 pyparsing.py:1047(extract_stack)
       48    0.000    0.000    0.000    0.000 pyparsing.py:3540(__init__)
       77    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
       97    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
      363    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      366    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        1    0.000    0.000    0.002    0.002 sysfont.py:21(<module>)
        1    0.000    0.000    0.034    0.034 __init__.py:231(<module>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      216    0.000    0.000    0.000    0.000 gfx.py:2953(italic)
      284    0.000    0.000    0.000    0.000 dsp.py:3514(xvelocity)
       72    0.000    0.000    0.001    0.000 r.py:535(bl_get_image)
      154    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
      288    0.000    0.000    0.000    0.000 dsp.py:3646(image_blend)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      326    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        3    0.000    0.000    0.000    0.000 r.py:89(prune)
      136    0.000    0.000    0.000    0.000 __init__.py:921(_added_new)
       18    0.000    0.000    0.000    0.000 {built-in method pygame.transform.flip}
      104    0.000    0.000    0.000    0.000 traceback.py:289(walk_stack)
      145    0.000    0.000    0.000    0.000 dsp.py:4372(visible)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      142    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
      141    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      284    0.000    0.000    0.000    0.000 dsp.py:3528(yvelocity)
       22    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
      147    0.000    0.000    0.000    0.000 dsp.py:4363(sprite)
        1    0.000    0.000    0.000    0.000 dsp.py:1963(Room)
        1    0.000    0.000    0.000    0.000 threading.py:204(Condition)
        2    0.000    0.000    0.000    0.000 {built-in method pygame.draw.ellipse}
        9    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
    36/11    0.000    0.000    0.003    0.000 pyparsing.py:3743(leaveWhitespace)
       53    0.000    0.000    0.000    0.000 typing.py:162(_collect_type_vars)
       77    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      930    0.000    0.000    0.000    0.000 __init__.py:2062(__bool__)
        1    0.000    0.000    0.179    0.179 r.py:190(_set_mode)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.joystick.Joystick}
      304    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
      441    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      133    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       96    0.000    0.000    0.000    0.000 __init__.py:1870(_warn_on_replacement)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       23    0.000    0.000    0.000    0.000 pyparsing.py:2742(__str__)
      278    0.000    0.000    0.000    0.000 dsp.py:1705(event_mouse_move)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2061(setWhitespaceChars)
       96    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
        1    0.000    0.000    0.000    0.000 datetime.py:5(<module>)
      107    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      128    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      224    0.000    0.000    0.000    0.000 dsp.py:270(height)
      284    0.000    0.000    0.000    0.000 dsp.py:3524(yvelocity)
       73    0.000    0.000    0.000    0.000 {method 'unlock' of 'pygame.Surface' objects}
      159    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4230(__init__)
       48    0.000    0.000    0.000    0.000 pyparsing.py:1948(__or__)
        1    0.000    0.000    0.077    0.077 __init__.py:3191(_initialize_master_working_set)
       78    0.000    0.000    0.001    0.000 linecache.py:15(getline)
        7    0.000    0.000    0.003    0.000 enum.py:633(_convert)
      475    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
      288    0.000    0.000    0.000    0.000 dsp.py:4025(event_step)
       81    0.000    0.000    0.033    0.000 re.py:232(compile)
       26    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
      433    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       83    0.000    0.000    0.000    0.000 six.py:141(__init__)
      121    0.000    0.000    0.000    0.000 selectors.py:66(__len__)
       26    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       93    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       45    0.000    0.000    0.000    0.000 pyparsing.py:1190(setName)
      164    0.000    0.000    0.000    0.000 __init__.py:3092(_always_object)
       78    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
       97    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.001    0.001 quoprimime.py:27(<module>)
      284    0.000    0.000    0.000    0.000 dsp.py:3367(y)
      184    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     20/8    0.000    0.000    0.000    0.000 pyparsing.py:3547(parseImpl)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
      360    0.000    0.000    0.000    0.000 dsp.py:4015(event_begin_step)
       10    0.000    0.000    0.000    0.000 typing.py:841(__init_subclass__)
      164    0.000    0.000    0.000    0.000 inspect.py:478(getmro)
        1    0.000    0.000    0.003    0.003 plistlib.py:47(<module>)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2813(parseImpl)
      133    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
      278    0.000    0.000    0.000    0.000 dsp.py:2618(event_mouse_move)
       50    0.000    0.000    0.000    0.000 posixpath.py:168(islink)
        1    0.000    0.000    0.078    0.078 joystick.py:32(refresh)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
     10/2    0.000    0.000    0.001    0.000 pyparsing.py:3397(parseImpl)
        1    0.000    0.000    0.002    0.002 shutil.py:5(<module>)
       18    0.000    0.000    0.000    0.000 r.py:1136(s_set_transparency)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4875(_makeTags)
       29    0.000    0.000    0.000    0.000 r.py:1129(s_refresh)
       35    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
       61    0.000    0.000    0.002    0.000 pyparsing.py:3292(<listcomp>)
        1    0.000    0.000    0.003    0.003 zipfile.py:5(<module>)
        1    0.000    0.000    0.005    0.005 platform.py:10(<module>)
       42    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      195    0.000    0.000    0.000    0.000 pyparsing.py:3392(<genexpr>)
       82    0.000    0.000    0.000    0.000 pyparsing.py:363(__new__)
       77    0.000    0.000    0.000    0.000 dsp.py:3398(checks_collisions)
       26    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
       99    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       16    0.000    0.000    0.000    0.000 pyparsing.py:2707(parseImpl)
      216    0.000    0.000    0.000    0.000 {method 'get_italic' of 'pygame.font.Font' objects}
       78    0.000    0.000    0.001    0.000 linecache.py:37(getlines)
        2    0.000    0.000    0.000    0.000 gfx.py:1173(draw_polyline)
       72    0.000    0.000    0.000    0.000 gfx.py:3344(color)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       21    0.000    0.000    0.001    0.000 abc.py:125(__new__)
      270    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        2    0.000    0.000    0.000    0.000 pyparsing.py:2863(__init__)
      278    0.000    0.000    0.000    0.000 dsp.py:4070(event_mouse_move)
        1    0.000    0.000    0.000    0.000 dsp.py:2990(Object)
       10    0.000    0.000    0.000    0.000 gfx.py:3004(get_width)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       17    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3997(__init__)
        1    0.000    0.000    0.000    0.000 gfx.py:966(draw_ellipse)
      121    0.000    0.000    0.000    0.000 selectors.py:275(_key_from_fd)
      216    0.000    0.000    0.000    0.000 {method 'get_bold' of 'pygame.font.Font' objects}
       47    0.000    0.000    0.000    0.000 types.py:164(__get__)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4565(_escapeRegexRangeChars)
       96    0.000    0.000    0.000    0.000 __init__.py:1855(__init__)
       17    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
      139    0.000    0.000    0.000    0.000 pyparsing.py:3543(<genexpr>)
       14    0.000    0.000    0.017    0.001 __init__.py:1979(_by_version_descending)
       38    0.000    0.000    0.000    0.000 typing.py:1190(_alias)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000   27.452   27.452 circle_popper.py:15(<module>)
       50    0.000    0.000    0.000    0.000 six.py:177(_add_module)
       15    0.000    0.000    0.000    0.000 gfx.py:3024(get_height)
       30    0.000    0.000    0.000    0.000 r.py:539(f_split_text)
        1    0.000    0.000    0.002    0.002 subprocess.py:656(__init__)
       18    0.000    0.000    0.001    0.000 r.py:119(_scale)
       72    0.000    0.000    0.000    0.000 {built-in method pygame.mixer_music.get_pos}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       78    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
        8    0.000    0.000    0.000    0.000 enum.py:830(__or__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      157    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       12    0.000    0.000    0.003    0.000 pyparsing.py:4251(__init__)
        6    0.000    0.000    0.019    0.003 __init__.py:35(load_module)
        1    0.000    0.000    0.004    0.004 header.py:5(<module>)
        1    0.000    0.000    0.000    0.000 gfx.py:1071(draw_circle)
       17    0.000    0.000    0.000    0.000 typing.py:110(_type_check)
      127    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
       16    0.000    0.000    0.000    0.000 pyparsing.py:1204(setResultsName)
       60    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
      108    0.000    0.000    0.000    0.000 version.py:248(<genexpr>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.100    0.100 gfx.py:2891(size)
        2    0.000    0.000    0.000    0.000 {built-in method pygame.draw.lines}
      102    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
      188    0.000    0.000    0.000    0.000 pyparsing.py:2656(<genexpr>)
       43    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
      7/2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       53    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
      126    0.000    0.000    0.000    0.000 six.py:88(__init__)
      360    0.000    0.000    0.000    0.000 dsp.py:4036(event_end_step)
        1    0.000    0.000    0.002    0.002 gfx.py:18(<module>)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
      100    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
       71    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
     15/4    0.000    0.000    0.000    0.000 pyparsing.py:3762(streamline)
        1    0.000    0.000    0.007    0.007 specifiers.py:4(<module>)
        1    0.000    0.000    0.005    0.005 utils.py:5(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:1935(find_distributions)
       20    0.000    0.000    0.000    0.000 __init__.py:2321(_is_egg_path)
        9    0.000    0.000    0.000    0.000 typing.py:530(__init__)
      108    0.000    0.000    0.000    0.000 typing.py:610(<genexpr>)
        1    0.000    0.000    0.000    0.000 dsp.py:51(Game)
        5    0.000    0.000    0.000    0.000 r.py:814(o_set_speed)
        9    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       88    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 pyparsing.py:3781(__str__)
       10    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
        1    0.000    0.000    0.002    0.002 dsp.py:18(<module>)
        1    0.000    0.000    0.000    0.000 gfx.py:220(Sprite)
        4    0.000    0.000    0.000    0.000 typing.py:816(__class_getitem__)
      144    0.000    0.000    0.000    0.000 dsp.py:1319(<lambda>)
        1    0.000    0.000    0.003    0.003 r.py:20(<module>)
        1    0.000    0.000    0.051    0.051 subprocess.py:895(communicate)
        1    0.000    0.000    0.002    0.002 subprocess.py:42(<module>)
       26    0.000    0.000    0.000    0.000 traceback.py:272(__getitem__)
        1    0.000    0.000    0.002    0.002 hashlib.py:54(<module>)
        6    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        6    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      102    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       12    0.000    0.000    0.000    0.000 pyparsing.py:4757(<lambda>)
       95    0.000    0.000    0.000    0.000 pyparsing.py:203(<genexpr>)
        1    0.000    0.000    0.003    0.003 version.py:4(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:24(<module>)
        1    0.000    0.000    0.000    0.000 gfx.py:880(draw_rectangle)
      121    0.000    0.000    0.000    0.000 selectors.py:272(get_map)
        9    0.000    0.000    0.000    0.000 enum.py:152(<dictcomp>)
        2    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
       12    0.000    0.000    0.000    0.000 posixpath.py:391(realpath)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
    13/12    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3851(__init__)
       97    0.000    0.000    0.000    0.000 pyparsing.py:4781(<genexpr>)
       32    0.000    0.000    0.000    0.000 pyparsing.py:209(__init__)
        1    0.000    0.000    0.000    0.000 gfx.py:1259(draw_polygon)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        4    0.000    0.000    0.000    0.000 selectors.py:21(_fileobj_to_fd)
        1    0.000    0.000    0.000    0.000 selectors.py:5(<module>)
        1    0.000    0.000    0.001    0.001 sprite.py:67(<module>)
        1    0.000    0.000    0.001    0.001 linecache.py:82(updatecache)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
      9/8    0.000    0.000    0.019    0.002 <frozen importlib._bootstrap>:634(_load_backward_compatible)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2751(charsAsStr)
     16/2    0.000    0.000    0.001    0.000 pyparsing.py:3737(parseImpl)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       11    0.000    0.000    0.000    0.000 __init__.py:2297(normalize_path)
        1    0.000    0.000    0.001    0.001 snd.py:371(play)
      120    0.000    0.000    0.000    0.000 subprocess.py:977(_check_timeout)
        1    0.000    0.000    0.000    0.000 sysfont.py:271(create_aliases)
        1    0.000    0.000    0.000    0.000 tokenize.py:443(open)
        9    0.000    0.000    0.000    0.000 enum.py:64(__init__)
       42    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        3    0.000    0.000    0.000    0.000 {built-in method pygame.base.get_sdl_version}
       14    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4681(originalTextFor)
        1    0.000    0.000    0.000    0.000 six.py:173(__init__)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 lzma.py:9(<module>)
        3    0.000    0.000    0.001    0.000 __init__.py:2224(declare_namespace)
        1    0.000    0.000    0.146    0.146 pkgdata.py:18(<module>)
    11/10    0.000    0.000    0.000    0.000 typing.py:245(inner)
        2    0.000    0.000    0.000    0.000 r.py:859(r_set_object_areas)
        2    0.000    0.000    0.000    0.000 selectors.py:234(register)
        1    0.000    0.000    0.000    0.000 selectors.py:347(__init__)
        4    0.000    0.000    0.000    0.000 circle_popper.py:64(__init__)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        6    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        3    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
       61    0.000    0.000    0.000    0.000 pyparsing.py:2159(streamline)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1103(ParserElement)
        1    0.000    0.000    0.000    0.000 s.py:223(<module>)
        1    0.000    0.000    0.000    0.000 gfx.py:788(draw_line)
      4/3    0.000    0.000    0.000    0.000 typing.py:337(__getitem__)
       56    0.000    0.000    0.000    0.000 dsp.py:356(scale_method)
        5    0.000    0.000    0.000    0.000 dsp.py:3616(image_fps)
        6    0.000    0.000    0.000    0.000 cursors.py:51(__init__)
        4    0.000    0.000    0.002    0.001 circle_popper.py:68(event_create)
        2    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
       17    0.000    0.000    0.000    0.000 functools.py:67(wraps)
        5    0.000    0.000    0.000    0.000 {built-in method math.hypot}
       41    0.000    0.000    0.000    0.000 pyparsing.py:3439(<genexpr>)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4825(tokenMap)
        7    0.000    0.000    0.000    0.000 specifiers.py:266(_require_version_compare)
